week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
8,123,Denver,Jacksonville,21.5,15.1,6.6,7,363,328.9,-0.3,0,346.3,288.4,159.3,140.48
9,124,Philadelphia,Houston,16.6,28.1,6.4,8.6,290.5,391,0.3,1.9,398.1,299,153.9,161.2
9,125,Indianapolis,New England,22.6,14.7,7.4,6.6,319.9,315.1,0,-0.9,325,306.8,148.3,140.34
9,126,Green Bay,Detroit,23.5,17.1,7.4,6.6,377.3,345.3,-0.4,-0.6,417.3,309.1,178.34,147.38
9,127,LA Chargers,Atlanta,24.1,23,7.8,6.4,320.1,364.3,0.1,0.3,406.9,352.3,165.84,160.78
9,128,Buffalo,NY Jets,21.8,27.5,6.5,7.9,335,416.4,0.1,0.1,312,299.6,146.78,164.52
9,129,Minnesota,Washington,17.7,24.1,6.5,6.6,323.4,340.1,-0.4,0.8,330.7,368.1,147.28,159.82
9,130,Carolina,Cincinnati,25.3,19.9,7.7,6.7,361.8,289.9,0.3,-0.4,324,370.3,157.68,149.34
9,131,Las Vegas,Jacksonville,22.1,22.9,6.7,6.8,367.4,338.4,-0.2,-0.3,343.4,371.3,159.94,160.06
9,132,Miami,Chicago,20.8,23.7,7.1,8.6,321.1,380.4,0.1,-0.3,347.9,363.3,152.18,170.62
9,133,Seattle,Arizona,22.6,26.8,6,7.7,337.7,359.8,0.3,0.3,368.9,364.6,157.9,165.7
9,134,LA Rams,Tampa Bay,18,16.4,6.4,6.8,331.8,286,0.2,-0.6,313,312.4,145.4,136.44
9,135,Tennessee,Kansas City,30.4,18.6,7.8,7,415.3,278.5,-0.1,0.4,351.5,363.3,175.02,146.16
9,136,Baltimore,New Orleans,23.6,26.1,7.5,6.9,377.6,354.9,-1.1,0.8,320.6,350.8,159.14,160.32
10,137,Atlanta,Carolina,20.4,23.2,6.7,7.6,294.2,317.2,-0.3,0,362.4,399.5,148.74,163.18
10,138,Seattle,Tampa Bay,18.3,25.7,6.6,7.8,340.5,352.1,0.1,0.4,310,370,146.98,165.24
10,139,Minnesota,Buffalo,27.8,25.1,7.9,6.7,424.1,355.8,-0.1,0.9,319.8,381.2,170.12,166
10,140,Denver,Tennessee,18.4,14.6,7,7,281.7,327.1,0.3,0,357.7,290.4,145.62,140.42
10,141,New Orleans,Pittsburgh,15.6,22.2,6,7.4,307.9,358.4,-0.2,-1.2,371.9,326.4,151.04,155.96
10,142,Houston,NY Giants,20.8,16.6,6.7,6.7,325.8,301.2,0.4,0,350.2,394.7,152.84,155.9
10,143,Cleveland,Miami,25.2,24.1,8.6,7.1,391.5,375.9,-0.2,-0.6,356.7,349.1,171.84,163.9
10,144,Jacksonville,Kansas City,30,21.6,8,6.7,423.1,362.2,-0.4,0.1,347.4,357.7,176.02,161.72
10,145,Detroit,Chicago,21.7,24.3,7.2,7.6,329.8,371.2,0,-0.2,345.4,416.2,153.78,177.5
10,146,Indianapolis,Las Vegas,22.6,15.7,6.8,6.7,335.1,325.1,-0.1,-0.9,376.1,307,160.34,142.78
10,147,Dallas,Green Bay,18.5,23.4,6.9,6.6,352.3,333.1,-0.5,0.7,320.3,324.8,151.92,149.6
10,148,Arizona,LA Rams,16.4,23,6.6,6,282.7,333.7,-0.8,0.5,310.8,357.6,135.02,154.96
10,149,LA Chargers,San Francisco,22,22.2,8,6.3,360,350.2,-0.3,0.2,280.6,356.1,148.46,158.34
10,150,Washington,Philadelphia,27.3,19.1,8.4,6.6,376.9,324.1,1.4,-0.2,302.4,324,158.4,146.6
11,151,Tennessee,Green Bay,18.4,19.3,6.8,7.6,344.9,294.3,-0.4,0.2,328.3,349,151.84,147.76
11,152,Chicago,Atlanta,23.5,21.9,7.5,7.2,313.8,326,-0.1,0.1,389.4,339.5,160.32,151.9
11,153,Carolina,Baltimore,24.8,18.8,6.8,6.6,350.2,286.1,0.9,-0.5,336.2,357.5,156.02,145.58
11,154,Cleveland,Buffalo,28.1,24,7.8,7.2,417.4,377.9,0,-0.6,327.4,349.9,170.18,164.64
